# x_m; y_m
1.0748956; -0.1528569
1.0663060; 0.0469166
1.0545386; 0.2465104
1.0396077; 0.4458964
1.0215198; 0.6450256
1.0002757; 0.8438271
0.9758694; 1.0422891
0.9483040; 1.2403209
0.9175751; 1.4378904
0.8836811; 1.6349460
0.8466241; 1.8314144
0.8063948; 2.0272831
0.7629999; 2.2224580
0.7164341; 2.4169046
0.6666958; 2.6105688
0.6137897; 2.8033741
0.5577038; 2.9953044
0.4984490; 3.1862630
0.4360192; 3.3762111
0.3704139; 3.5650908
0.3016407; 3.7528228
0.2296861; 3.9393840
0.1545650; 4.1246760
0.0762721; 4.3086539
-0.0051913; 4.4912548
-0.0898149; 4.6723964
-0.1776109; 4.8520452
-0.2685609; 5.0301029
-0.3626680; 5.2065153
-0.4599281; 5.3812134
-0.5603282; 5.5541122
-0.6638764; 5.7251633
-0.7705523; 5.8942695
-0.8803544; 6.0613646
-0.9932745; 6.2263718
-1.1092973; 6.3892036
-1.2284183; 6.5497925
-1.3506074; 6.7080549
-1.4758380; 6.8639194
-1.6040538; 7.0173400
-1.7351692; 7.1682953
-1.8690872; 7.3167597
-2.0057193; 7.4627394
-2.1449611; 7.6062286
-2.2867181; 7.7472315
-2.4309059; 7.8857609
-2.5774179; 8.0218084
-2.7261862; 8.1554013
-2.8771160; 8.2865417
-3.0301270; 8.4152445
-3.1851516; 8.5415340
-3.3420890; 8.6654081
-3.5008905; 8.7869054
-3.6614706; 8.9060354
-3.8237606; 9.0228206
-3.9877064; 9.1372933
-4.1532150; 9.2494587
-4.3202509; 9.3593619
-4.4887381; 9.4670201
-4.6586176; 9.5724621
-4.8298448; 9.6757256
-5.0023371; 9.7768253
-5.1760667; 9.8758087
-5.3509678; 9.9727007
-5.5269898; 10.0675355
-5.7040951; 10.1603541
-5.8822136; 10.2511804
-6.0613212; 10.3400623
-6.2413627; 10.4270317
-6.4222952; 10.5121269
-6.6040860; 10.5953911
-6.7866785; 10.6768563
-6.9700498; 10.7565700
-7.1541551; 10.8345699
-7.3389583; 10.9108975
-7.5244304; 10.9855975
-7.7105283; 11.0587086
-7.8972283; 11.1302776
-8.0844959; 11.2003468
-8.2723009; 11.2689603
-8.4606165; 11.3361637
-8.6494130; 11.4020012
-8.8386646; 11.4665188
-9.0283464; 11.5297624
-9.2184331; 11.5917782
-9.4088994; 11.6526122
-9.5997277; 11.7123130
-9.7908899; 11.7709259
-9.9823688; 11.8284995
-10.1741438; 11.8850816
-10.3661907; 11.9407187
-10.5585014; 11.9954615
-10.7510477; 12.0493524
-10.9438191; 12.1024383
-11.1367995; 12.1547634
-11.3299674; 12.2063697
-11.5233231; 12.2573050
-11.7168371; 12.3076089
-11.9105042; 12.3573279
-12.1043112; 12.4065059
-12.2982359; 12.4551850
-12.4922857; 12.5034144
-12.6864282; 12.5512335
-12.8806622; 12.5986895
-13.0749761; 12.6458268
-13.2693469; 12.6926874
-13.4637875; 12.7393218
-13.6582624; 12.7857687
-13.8527734; 12.8320761
-14.0473097; 12.8782887
-14.2418471; 12.9244482
-14.4364023; 12.9706059
-14.6309371; 13.0168003
-14.8254547; 13.0630795
-15.0199444; 13.1094885
-15.2143808; 13.1560687
-15.4087823; 13.2028720
-15.6031082; 13.2499362
-15.7973622; 13.2973097
-15.9915325; 13.3450375
-16.1855925; 13.3931604
-16.3795601; 13.4417309
-16.5733928; 13.4907859
-16.7670933; 13.5403740
-16.9606479; 13.5905396
-17.1540287; 13.6413234
-17.3472511; 13.6927775
-17.5402711; 13.7449384
-17.7330889; 13.7978543
-17.9256885; 13.8515691
-18.1180402; 13.9061229
-18.3101548; 13.9615673
-18.5019876; 14.0179381
-18.6935349; 14.0752828
-18.8847772; 14.1336446
-19.0756831; 14.1930628
-19.2662569; 14.2535880
-19.4564534; 14.3152552
-19.6462635; 14.3781109
-19.8356637; 14.4421971
-20.0246207; 14.5075524
-20.2131301; 14.5742252
-20.4011467; 14.6422502
-20.5886547; 14.7116719
-20.7756259; 14.7825309
-20.9620245; 14.8548646
-21.1478360; 14.9287188
-21.3330153; 15.0041273
-21.5175383; 15.0811323
-21.7013715; 15.1597722
-21.8844765; 15.2400831
-22.0668271; 15.3221067
-22.2483779; 15.4058763
-22.4290961; 15.4914305
-22.6089417; 15.5788050
-22.7878708; 15.6680334
-22.9658450; 15.7591503
-23.1428284; 15.8521854
-23.3187719; 15.9471573
-23.4936650; 16.0440560
-23.6675167; 16.1428420
-23.8402958; 16.2434448
-24.0120529; 16.3458197
-24.1827826; 16.4498853
-24.3525083; 16.5555772
-24.5212614; 16.6628366
-24.6890391; 16.7715826
-24.8558911; 16.8817681
-25.0218261; 16.9933195
-25.1868745; 17.1061774
-25.3510718; 17.2202863
-25.5144269; 17.3355721
-25.6769910; 17.4519903
-25.8387812; 17.5694723
-25.9998338; 17.6879634
-26.1601881; 17.8074113
-26.3198609; 17.9277467
-26.4789059; 18.0489280
-26.6373459; 18.1708906
-26.7952215; 18.2935832
-26.9525754; 18.4169563
-27.1094295; 18.5409441
-27.2658397; 18.6655077
-27.4218327; 18.7905849
-27.5774520; 18.9161272
-27.7327427; 19.0420873
-27.8877298; 19.1684014
-28.0424708; 19.2950327
-28.1969948; 19.4219206
-28.3513468; 19.5490181
-28.5055730; 19.6762790
-28.6597006; 19.8036415
-28.8137868; 19.9310684
-28.9678622; 20.0585005
-29.1219722; 20.1858914
-29.2761627; 20.3131950
-29.4304618; 20.4403495
-29.5849284; 20.5673150
-29.7395956; 20.6940294
-29.8945105; 20.8204408
-30.0497215; 20.9464969
-30.2052620; 21.0721335
-30.3611860; 21.1973028
-30.5175303; 21.3219431
-30.6743389; 21.4459985
-30.8316556; 21.5694128
-30.9895171; 21.6921244
-31.1479674; 21.8140773
-31.3070449; 21.9352111
-31.4667877; 22.0554652
-31.6272337; 22.1747787
-31.7884217; 22.2930912
-31.9503833; 22.4103376
-32.1131575; 22.5264574
-32.2767752; 22.6413846
-32.4412660; 22.7550522
-32.6066695; 22.8674000
-32.7730035; 22.9783532
-32.9403054; 23.0878495
-33.1085971; 23.1958170
-33.2778988; 23.3021821
-33.4482481; 23.4068825
-33.6196481; 23.5098343
-33.7921317; 23.6109717
-33.9657106; 23.7102162
-34.1403933; 23.8074876
-34.3162128; 23.9027192
-34.4931562; 23.9958190
-34.6712490; 24.0867159
-34.8504905; 24.1753246
-35.0308761; 24.2615582
-35.2124297; 24.3453435
-35.3951220; 24.4265820
-35.5789672; 24.5051952
-35.7639498; 24.5810915
-35.9500502; 24.6541776
-36.1372777; 24.7243716
-36.3255868; 24.7915705
-36.5149747; 24.8556871
-36.7054090; 24.9166237
-36.8968526; 24.9742812
-37.0892933; 25.0285681
-37.2826695; 25.0793783
-37.4769548; 25.1266155
-37.6720969; 25.1701766
-37.8680381; 25.2099581
-38.0647358; 25.2458585
-38.2621141; 25.2777696
-38.4601124; 25.3055855
-38.6586562; 25.3292005
-38.8576636; 25.3485088
-39.0570472; 25.3634337
-39.2567138; 25.3739748
-39.4565621; 25.3801453
-39.6564971; 25.3819830
-39.8564262; 25.3795421
-40.0562593; 25.3728768
-40.2559086; 25.3620412
-40.4552925; 25.3470889
-40.6543298; 25.3280734
-40.8529426; 25.3050478
-41.0510561; 25.2780647
-41.2486003; 25.2471760
-41.4454998; 25.2124344
-41.6416923; 25.1738901
-41.8371141; 25.1315936
-42.0316873; 25.0855983
-42.2253746; 25.0359483
-42.4180892; 24.9826996
-42.6097919; 24.9258961
-42.8004334; 24.8655834
-42.9899169; 24.8018230
-43.1782516; 24.7346402
-43.3653228; 24.6641003
-43.5511019; 24.5901962
-43.7355290; 24.5129048
-43.9184282; 24.4321942
-44.0997307; 24.3478437
-44.2791814; 24.2596982
-44.4566379; 24.1675847
-44.6319325; 24.0713612
-44.8048006; 23.9709446
-44.9751181; 23.8661787
-45.1426109; 23.7569968
-45.3070713; 23.6432936
-45.4682687; 23.5249767
-45.6259061; 23.4020040
-45.7797479; 23.2742874
-45.9294893; 23.1417922
-46.0748265; 23.0044859
-46.2154422; 22.8623476
-46.3510047; 22.7153696
-46.4811396; 22.5635920
-46.6055011; 22.4070197
-46.7236764; 22.2457397
-46.8352439; 22.0798554
-46.9398223; 21.9094028
-47.0368880; 21.7346452
-47.1260294; 21.5556522
-47.2067176; 21.3727111
-47.2784185; 21.1861414
-47.3407016; 20.9960594
-47.3930364; 20.8031642
-47.4350821; 20.6077087
-47.4668813; 20.4103170
-47.4888327; 20.2116641
-47.5013817; 20.0120994
-47.5049654; 19.8122251
-47.5000505; 19.6123771
-47.4870908; 19.4128689
-47.4665358; 19.2139858
-47.4388391; 19.0160097
-47.4044282; 18.8190330
-47.3637565; 18.6233000
-47.3172406; 18.4288539
-47.2652935; 18.2357410
-47.2083631; 18.0441263
-47.1468041; 17.8538576
-47.0810537; 17.6650558
-47.0114745; 17.4776141
-46.9384310; 17.2914458
-46.8623360; 17.1065855
-46.7834963; 16.9228085
-46.7023015; 16.7400940
-46.6190835; 16.5582883
-46.5341736; 16.3772416
-46.4479246; 16.1968520
-46.3606575; 16.0169525
-46.2726887; 15.8373694
-46.1843598; 15.6579823
-46.0959954; 15.4786377
-46.0078755; 15.2990924
-45.9203958; 15.1193422
-45.8337959; 14.9390609
-45.7484597; 14.7582235
-45.6647300; 14.5767231
-45.5828327; 14.3941920
-45.5032610; 14.2108588
-45.4262074; 14.0262646
-45.3521182; 13.8405380
-45.2813632; 13.6536393
-45.2141834; 13.4651608
-45.1511324; 13.2755629
-45.0924270; 13.0843190
-45.0385708; 12.8917702
-44.9899568; 12.6979338
-44.9469255; 12.5025485
-44.9100090; 12.3062083
-44.8795386; 12.1085009
-44.8560258; 11.9099811
-44.8399044; 11.7107720
-44.8316201; 11.5109713
-44.8316360; 11.3111253
-44.8403979; 11.1114128
-44.8583655; 10.9123023
-44.8859659; 10.7144171
-44.9236513; 10.5181998
-44.9719450; 10.3239497
-45.0309383; 10.1334325
-45.1014370; 9.9461485
-45.1834447; 9.7639284
-45.2767116; 9.5871903
-45.3807273; 9.4159446
-45.4940444; 9.2515395
-45.6162536; 9.0931322
-45.7461214; 8.9410551
-45.8827795; 8.7951378
-46.0255504; 8.6550248
-46.1735396; 8.5205933
-46.3261552; 8.3914116
-46.4827860; 8.2670799
-46.6428254; 8.1471985
-46.8057054; 8.0313303
-46.9711215; 7.9188551
-47.1384022; 7.8093978
-47.3072711; 7.7023120
-47.4773007; 7.5970533
-47.6479955; 7.4931137
-47.8192526; 7.3897437
-47.9904423; 7.2865090
-48.1613401; 7.1827276
-48.3315659; 7.0778088
-48.5006538; 6.9712148
-48.6683592; 6.8622656
-48.8341123; 6.7504843
-48.9975201; 6.6352845
-49.1581413; 6.5162101
-49.3155114; 6.3929105
-49.4692136; 6.2650933
-49.6189915; 6.1326302
-49.7644997; 5.9955483
-49.9055712; 5.8538879
-50.0421162; 5.7077463
-50.1738875; 5.5574509
-50.3010082; 5.4030865
-50.4234085; 5.2449880
-50.5411145; 5.0833778
-50.6541817; 4.9184315
-50.7625743; 4.7504570
-50.8663879; 4.5795613
-50.9656284; 4.4059889
-51.0603435; 4.2299114
-51.1505929; 4.0514700
-51.2363899; 3.8708951
-51.3178146; 3.6882721
-51.3948977; 3.5037867
-51.4676925; 3.3175712
-51.5362587; 3.1297339
-51.6006303; 2.9404519
-51.6608784; 2.7497944
-51.7170487; 2.5579025
-51.7691987; 2.3648826
-51.8173905; 2.1708222
-51.8616757; 1.9758521
-51.9021229; 1.7800382
-51.9387919; 1.5834839
-51.9717472; 1.3862751
-52.0010560; 1.1884865
-52.0267836; 0.9902048
-52.0489987; 0.7914976
-52.0677701; 0.5924342
-52.0831668; 0.3930820
-52.0952590; 0.1935057
-52.1041179; -0.0062481
-52.1098137; -0.2061104
-52.1124185; -0.4060400
-52.1120037; -0.6059874
-52.1086415; -0.8058969
-52.1024035; -1.0057543
-52.0933629; -1.2054922
-52.0815914; -1.4050918
-52.0671613; -1.6045196
-52.0501465; -1.8037293
-52.0306161; -2.0027305
-52.0086459; -2.2014619
-51.9843064; -2.3999210
-51.9576694; -2.5980888
-51.9288097; -2.7959293
-51.8977934; -2.9934667
-51.8646978; -3.1906510
-51.8295912; -3.3874906
-51.7925445; -3.5839789
-51.7536321; -3.7800909
-51.7129172; -3.9758588
-51.6704773; -4.1712457
-51.6263789; -4.3662676
-51.5806911; -4.5609278
-51.5334875; -4.7552129
-51.4848296; -4.9491573
-51.4347935; -5.1427393
-51.3834446; -5.3359786
-51.3308507; -5.5288866
-51.2770833; -5.7214614
-51.2222041; -5.9137378
-51.1662892; -6.1057053
-51.1094043; -6.2973882
-51.0515939; -6.4887973
-50.9928821; -6.6799228
-50.9332600; -6.8707648
-50.8726051; -7.0612895
-50.8107716; -7.2514294
-50.7476159; -7.4411316
-50.6829930; -7.6303679
-50.6167900; -7.8190214
-50.5488636; -8.0070816
-50.4790966; -8.1944661
-50.4073700; -8.3811015
-50.3335578; -8.5669321
-50.2575488; -8.7518662
-50.1792240; -8.9358334
-50.0984696; -9.1187506
-50.0151762; -9.3005251
-49.9292401; -9.4810525
-49.8405405; -9.6602641
-49.7489937; -9.8380158
-49.6544878; -10.0142197
-49.5569251; -10.1887596
-49.4562366; -10.3614708
-49.3522831; -10.5323067
-49.2450331; -10.7010413
-49.1343787; -10.8675746
-49.0202382; -11.0317616
-48.9025906; -11.1933740
-48.7812765; -11.3523714
-48.6563337; -11.5084501
-48.5276633; -11.6614860
-48.3952097; -11.8112959
-48.2590117; -11.9575939
-48.1188996; -12.1003162
-47.9749939; -12.2390961
-47.8272187; -12.3737687
-47.6755627; -12.5041003
-47.5201301; -12.6297622
-47.3607804; -12.7506223
-47.1977138; -12.8662791
-47.0309093; -12.9765011
-46.8604305; -13.0809929
-46.6864466; -13.1793990
-46.5089458; -13.2714774
-46.3281807; -13.3568768
-46.1443090; -13.4353153
-45.9575176; -13.5065630
-45.7680298; -13.5704358
-45.5762716; -13.6267475
-45.3823588; -13.6755868
-45.1867636; -13.7169829
-44.9897738; -13.7510739
-44.7915948; -13.7780522
-44.5927230; -13.7980718
-44.3931961; -13.8113369
-44.1933758; -13.8180171
-43.9934502; -13.8182946
-43.7935481; -13.8123452
-43.5940158; -13.8003520
-43.3948511; -13.7824818
-43.1963094; -13.7589156
-42.9985060; -13.7298240
-42.8015165; -13.6953673
-42.6055787; -13.6557357
-42.4106700; -13.6110711
-42.2169598; -13.5615541
-42.0245142; -13.5073426
-41.8333701; -13.4485844
-41.6436787; -13.3854629
-41.4554094; -13.3181041
-41.2686612; -13.2466765
-41.0834648; -13.1713252
-40.8998288; -13.0921850
-40.7178355; -13.0094224
-40.5374510; -12.9231530
-40.3587194; -12.8335271
-40.1816445; -12.7406768
-40.0062144; -12.6447251
-39.8324565; -12.5458164
-39.6603360; -12.4440609
-39.4898538; -12.3395888
-39.3209929; -12.2325199
-39.1537263; -12.1229676
-38.9880375; -12.0110520
-38.8238923; -11.8968816
-38.6612586; -11.7805658
-38.5001023; -11.6622129
-38.3403865; -11.5419289
-38.1820595; -11.4198086
-38.0250893; -11.2959620
-37.8694183; -11.1704789
-37.7149993; -11.0434574
-37.5617892; -10.9149989
-37.4097076; -10.7851736
-37.2587262; -10.6540956
-37.1087679; -10.5218374
-36.9597755; -10.3884883
-36.8117033; -10.2541487
-36.6644471; -10.1188652
-36.5179846; -9.9827595
-36.3722238; -9.8458892
-36.2271000; -9.7083368
-36.0825677; -9.5702034
-35.9385041; -9.4315162
-35.7948946; -9.2924060
-35.6516366; -9.1529192
-35.5086607; -9.0131339
-35.3659227; -8.8731532
-35.2232880; -8.7329913
-35.0807482; -8.5927866
-34.9381946; -8.4525790
-34.7955573; -8.3124461
-34.6527964; -8.1724954
-34.5097676; -8.0327320
-34.3664715; -7.8933026
-34.2227965; -7.7542447
-34.0786745; -7.6156386
-33.9340703; -7.4775953
-33.7888384; -7.3401212
-33.6429871; -7.2033688
-33.4964060; -7.0673784
-33.3490330; -6.9322356
-33.2008367; -6.7980541
-33.0516802; -6.6648522
-32.9015761; -6.5327824
-32.7504217; -6.4018946
-32.5981644; -6.2722827
-32.4447769; -6.1440619
-32.2901411; -6.0172716
-32.1342699; -5.8920591
-31.9770769; -5.7684907
-31.8185216; -5.6466695
-31.6585808; -5.5267111
-31.4971694; -5.4086848
-31.3342924; -5.2927265
-31.1698935; -5.1789265
-31.0039439; -5.0673957
-30.8364245; -4.9582508
-30.6673012; -4.8515984
-30.4965575; -4.7475570
-30.3241866; -4.6462508
-30.1501672; -4.5477949
-29.9744860; -4.4523098
-29.7971814; -4.3599434
-29.6181965; -4.2707949
-29.4376056; -4.1850292
-29.2553864; -4.1027506
-29.0715407; -4.0240696
-28.8862234; -3.9491559
-28.6993072; -3.8780593
-28.5109897; -3.8109492
-28.3212758; -3.7478357
-28.1302232; -3.6886981
-27.9380834; -3.6335585
-27.7447829; -3.5823092
-27.5505493; -3.5349231
-27.3554216; -3.4913238
-27.1594573; -3.4514439
-26.9628503; -3.4152429
-26.7655587; -3.3826356
-26.5677465; -3.3535752
-26.3694495; -3.3279927
-26.1707121; -3.3058225
-25.9716769; -3.2870096
-25.7723195; -3.2714822
-25.5727565; -3.2591824
-25.3730228; -3.2500455
-25.1731534; -3.2440075
-24.9732436; -3.2410063
-24.7732895; -3.2409778
-24.5733653; -3.2438594
-24.3735028; -3.2495879
-24.1737305; -3.2581008
-23.9741054; -3.2693345
-23.7746400; -3.2832276
-23.5753739; -3.2997176
-23.3763349; -3.3187423
-23.1775467; -3.3402404
-22.9790325; -3.3641504
-22.7808199; -3.3904107
-22.5829203; -3.4189616
-22.3853562; -3.4497417
-22.1881483; -3.4826894
-21.9912910; -3.5177476
-21.7948218; -3.5548520
-21.5987312; -3.5939469
-21.4030359; -3.6349715
-21.2077552; -3.6778638
-21.0128583; -3.7225730
-20.8183902; -3.7690307
-20.6243257; -3.8171847
-20.4306735; -3.8669742
-20.2374506; -3.9183354
-20.0446091; -3.9712221
-19.8521955; -4.0255620
-19.6601738; -4.0813055
-19.4685452; -4.1383926
-19.2773234; -4.1967589
-19.0864499; -4.2563622
-18.8959683; -4.3171286
-18.7058368; -4.3790107
-18.5160496; -4.4419495
-18.3266154; -4.5058810
-18.1374728; -4.5707648
-17.9486570; -4.6365271
-17.7601249; -4.7031213
-17.5718649; -4.7704895
-17.3838793; -4.8385684
-17.1961096; -4.9073169
-17.0085794; -4.9766638
-16.8212477; -5.0465612
-16.6340981; -5.1169523
-16.4471253; -5.1877755
-16.2602801; -5.2589862
-16.0735702; -5.3305176
-15.8869607; -5.4023193
-15.7004315; -5.4743349
-15.5139698; -5.5465051
-15.3275387; -5.6187799
-15.1411299; -5.6910978
-14.9547163; -5.7634048
-14.7682754; -5.8356448
-14.5817874; -5.9077606
-14.3952303; -5.9796956
-14.2085801; -6.0513940
-14.0218190; -6.1227976
-13.8349238; -6.1938499
-13.6478689; -6.2644953
-13.4606479; -6.3346712
-13.2732233; -6.4043260
-13.0855875; -6.4733974
-12.8977179; -6.5418284
-12.7095857; -6.6095640
-12.5211986; -6.6765364
-12.3325107; -6.7426966
-12.1435231; -6.8079792
-11.9542166; -6.8723261
-11.7645623; -6.9356825
-11.5745791; -6.9979777
-11.3842193; -7.0591633
-11.1934913; -7.1191726
-11.0023812; -7.1779464
-10.8108643; -7.2354288
-10.6189657; -7.2915491
-10.4266445; -7.3462565
-10.2339130; -7.3994845
-10.0407653; -7.4511724
-9.8471856; -7.5012616
-9.6531979; -7.5496840
-9.4587786; -7.5963833
-9.2639419; -7.6412941
-9.0686896; -7.6843535
-8.8730159; -7.7254992
-8.6769486; -7.7646578
-8.4804701; -7.8017484
-8.2835961; -7.8366788
-8.0863355; -7.8693400
-7.8886922; -7.8996063
-7.6906764; -7.9273508
-7.4923134; -7.9524475
-7.2936145; -7.9747724
-7.0946111; -7.9942014
-6.8953515; -8.0106113
-6.6958295; -8.0238830
-6.4961411; -8.0338908
-6.2963019; -8.0405142
-6.0963727; -8.0436301
-5.8964545; -8.0431159
-5.6965243; -8.0388477
-5.4967568; -8.0307043
-5.2971789; -8.0185613
-5.0978853; -8.0022957
-4.8990335; -7.9817914
-4.7006030; -7.9569127
-4.5028416; -7.9275548
-4.3058035; -7.8935891
-4.1096265; -7.8548971
-3.9145214; -7.8113775
-3.7205065; -7.7628850
-3.5278840; -7.7093414
-3.3367613; -7.6506210
-3.1473294; -7.5866198
-2.9598434; -7.5172589
-2.7744154; -7.4424062
-2.5913646; -7.3620105
-2.4108932; -7.2759753
-2.2332503; -7.1842239
-2.0587195; -7.0866984
-1.8875926; -6.9833485
-1.7201331; -6.8741036
-1.5567059; -6.7589623
-1.3975994; -6.6379137
-1.2430805; -6.5109558
-1.0935760; -6.3783125
-0.9490543; -6.2401053
-0.8097158; -6.0967245
-0.6756016; -5.9484616
-0.5466812; -5.7955632
-0.4230834; -5.6384671
-0.3046978; -5.4773161
-0.1915755; -5.3124545
-0.0836920; -5.1441302
0.0190075; -4.9725397
0.1164996; -4.7980112
0.2088774; -4.6206761
0.2961629; -4.4407912
0.3784110; -4.2585555
0.4556917; -4.0741334
0.5280480; -3.8877546
0.5955636; -3.6995515
0.6583029; -3.5097041
0.7163395; -3.3183705
0.7697531; -3.1256917
0.8186224; -2.9318099
0.8630293; -2.7368613
0.9030599; -2.5409633
0.9387997; -2.3442372
0.9703356; -2.1468049
0.9977619; -1.9487388
1.0211646; -1.7501734
1.0406390; -1.5511782
1.0562780; -1.3518416
1.0681750; -1.1522669
1.0764284; -0.9524761
1.0811326; -0.7525924
1.0823861; -0.5526523
1.0802791; -0.3527140
1.0748956; -0.1528569
